"2015-01-18 09:19:16,888;Yok_98;35.462635;139.774854;526198"
"2015-01-16 01:02:16,889;Yok_19;35.462635;139.774854;593071"
"2015-01-01 09:48:16,889;Osa_10;34.705359;135.500729;912509"
"2015-01-26 18:08:16,889;Osa_88;34.705359;135.500729;569940"
"2015-01-03 17:33:16,889;Tok_12;35.732727;139.722404;362436"
"2015-01-02 22:27:16,890;Kaw_83;35.557485;139.698357;921195"
"2015-01-24 08:00:16,890;Tok_60;35.732727;139.722404;041639"
"2015-01-07 08:56:16,890;Osa_24;34.705359;135.500729;558128"
"2015-01-26 05:08:16,890;Nag_57;35.193866;136.907394;365518"
"2015-01-23 09:24:16,890;Yok_60;35.462635;139.774854;451033"
